##
## If names get longer than 20 characters, then
## change read_sources in cal/mcc_match.pro!
##
## give coordinates in exactly this way:
## RA: HH MM SS.S
## DEC: +/-DEG AMIN ASEC (always give + or - sign)
##
# Roy
HD150193            16 40 17.92   -23 53 45.2
# Leo
NGC5128             13 25 26.6    -43 01 09
# Hendrik
IRAS13481           13 51 37.86   -61 39 07.5
G318                15 00 55.26   -58 58 52.6
G345                16 56 47.60   -40 14 25.0
IRAS17216           17 25 06.52   -38 04 00.4
IRAS18151           18 17 58.24   -12 07 24.4
IRAS18566           18 59 09.96   +04 12 15.6
# Jonathan
TW_Hya              11 01 51.91   -34 42 17.0
# Thorsten
SVS_20_N_S          18 29 57.7    +01 14 06
#
#
#
# extra
Haro_6-10_N         04 29 23.7    +24 33 01
